YelpLeaf,YelpParent1,YelpParent2,YelpParent3,MatchLeaf,MatchParent1,MatchParent2,MatchParent3,Tradition,Self-Expression,Utilitarian,Charisma,Egalitarian,Neighborliness,Formality,Exhibitionism,Glamour,Transgression,Rationality,Locality,State,Corporateness,Ethnicity
3D Printing,Local Services,-,-,"Digital Imaging, Printing & Photography",Computer Services,-,-,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Abruzzese,Italian,Restaurants,-,Italian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Absinthe Bars,Bars,Nightlife,-,Bars & Pubs,-,-,-,3.0,3.0,1.8,3.2,3.0,3.8,3.0,3.2,3.0,3.0,2.25,3.5,2.75,3.0,3.0
Acai Bowls,Food,-,-,Health Food Restaurant,-,-,-,2.8,3.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.25,3.0,3.0,3.0
Accessories,Fashion,Shopping,-,Accessories-Fashion,Accessories,-,-,3.0,4.0,3.0,3.5,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
Accountants,Professional Services,-,-,Accountants,Accounting Services,-,-,3.0,2.0,4.0,2.5,3.0,3.0,4.0,2.0,3.0,2.5,4.0,3.0,3.0,3.0,3.0
Acne Treatment,Beauty & Spas,-,-,Skin Care-Products & Treatments,Skin & scalp services & products,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.5,3.0
Acupuncture,Health & Medical,-,-,Acupuncturists,Alternative Health Care,-,-,4.0,3.0,2.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.5
Addiction Medicine,Doctors,Health & Medical,-,Addiction-Information & Treatment Centres,Therapy & Counselling,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Adoption Services,Local Services,-,-,Adoption Services,Children & Child Care,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,2.5,3.0,2.0
Adult,Shopping,-,-,Sex Shops,Adult Entertainment,-,-,2.0,3.5,2.0,3.0,3.0,2.0,2.5,5.0,3.0,4.5,2.0,3.0,3.0,3.0,3.0
