place_id,categories,lat,lon,business_status,name,price_level,rating,types,user_ratings_total,vicinity
ChIJ--AUWkDk3JQRTAowREM34R0,['Italian'],-25.4290489,-49.2618004,OPERATIONAL,Ristorante Ponte Vecchio,2.0,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",522,"R. Benjamin Constant, 331 - Centro, Curitiba"
ChIJ0SnXhY7j3JQRx65Xx3sa0DI,['Italian'],-25.4427666,-49.2914053,OPERATIONAL,La Pasta Gialla - Pátio Batel,2.0,4.3,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1092,"Av. do Batel, 1868 - Batel, Curitiba"
ChIJ0b9B22Ll3JQRqep-Gh6qEKM,['Italian'],-25.4698831,-49.2806268,OPERATIONAL,La Casa Di Polenta,,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",43,"R. Augusto de Mari, 2718 - Guaíra, Curitiba"
ChIJ1wO3yzPl3JQRenev2uVd3so,['Italian'],-25.4724167,-49.2523986,OPERATIONAL,Spedini - Shopping Cidade,2.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",38,"Av. Mal. Floriano Peixoto, 4984 - Hauer, Curitiba"
ChIJ21-383Dk3JQRRlxPlsp7kNM,['Italian'],-25.4409909,-49.2774894,OPERATIONAL,Allegrini Shopping Curitiba,,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",4,"Shopping Curitiba Rua Brigadeiro Franco, 2300 Curitiba"
ChIJ27EiGQvk3JQRAUDRu938yOA,['Italian'],-25.4325632,-49.2812107,OPERATIONAL,Il Barbuto Alameda,2.0,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",1293,"Alameda Prudente de Moraes, 1227 - Centro, Curitiba"
ChIJ39a2MLrj3JQRdjMs-YLzk3w,['Italian'],-25.4430439,-49.29084779999999,OPERATIONAL,Galeto Mamma Mia | Curitiba | Pátio Batel,2.0,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",18,"Av. do Batel, 1868 - Batel, Curitiba"
ChIJ3RhQdenj3JQRTra0cTjAfCM,['Italian'],-25.434266,-49.301863,OPERATIONAL,Dom Conchiglione,2.0,4.6,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",373,"R. Padre Anchieta, 2373 - Bigorrilho, Curitiba"
ChIJ430hbaLj3JQRRIXnENa6Ho0,['Italian'],-25.459814,-49.287368,OPERATIONAL,Genowa Ristorante & Pizzeria,,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",59,"Rua Guilherme Pugsley, 1483 - Água Verde, Curitiba"
ChIJ6XdS_urj3JQRNM71bOMKntA,['Italian'],-25.4386076,-49.3020529,OPERATIONAL,"La Bella Massas Frescas em Curitiba, Massas Pronta Entrega, Massas para Restaurantes",2.0,4.7,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",135,"R. Jerônimo Durski, 1051 - Campina do Siqueira, Curitiba"
ChIJ8euiUp_j3JQRX2O41F3RAio,['Italian'],-25.456295,-49.303749,OPERATIONAL,Cicinielli House of Pasta,2.0,4.8,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",350,"R. Júlio Eduardo Gineste, 29 - Santa Quiteria, Curitiba"
ChIJBQFqMCXl3JQR36oEJYXBgpQ,['Italian'],-25.465411,-49.2339963,OPERATIONAL,Lonatto cucina,2.0,4.6,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",10034,"Av. Com. Franco, 3769 - Jardim das Américas, Curitiba"
ChIJBRS7fvXj3JQRpsOcTNo7Ez0,['Italian'],-25.4328443,-49.2844735,OPERATIONAL,La Mafia Trattoria,2.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",1732,"Rua Desembargador Motta, 2601 - Batel, Curitiba"
ChIJERi2LnHl3JQRA_xtz0La8c0,['Italian'],-25.433748,-49.27556509999999,OPERATIONAL,Italy Caffé,2.0,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",4749,"Praça Gen. Osório, 125 - Centro, Curitiba"
ChIJEwQ6hm7j3JQRfwUgVTZi3jY,['Italian'],-25.4337919,-49.301586,OPERATIONAL,Italy Caffé Champagnat,,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",376,"R. Padre Anchieta, 2320 - Bigorrilho, Curitiba"
ChIJF-N-EDbk3JQRxIdQ5RBj6iI,['Italian'],-25.422842,-49.2494682,OPERATIONAL,Cantina do Délio Itupava,2.0,4.4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",4019,"R. Itupava, 1094 - Alto da XV, Curitiba"
ChIJF6tPPwDl3JQR9Dsc6aqMDYI,['Italian'],-25.4292264,-49.2833411,OPERATIONAL,Scarpetta Cucina,,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",40,"Al. Júlia da Costa, 608 - São Francisco, Curitiba"
ChIJFbt_qHTk3JQR_EWDEbxMj6A,['Italian'],-25.433106,-49.27981,OPERATIONAL,Restaurante Spaghetto,2.0,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",4559,"R. Visc. do Rio Branco, 1302 - Centro, Curitiba"
ChIJG8Wa0Vbk3JQRxwIk_9hXPXE,['Italian'],-25.4387742,-49.2509071,OPERATIONAL,Cantina da Mamma,2.0,4.6,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1380,"Av. Prefeito Omar Sabbag, 440 - Jardim Botânico, Curitiba"
ChIJJRdZlR_j3JQRuAC66FKxYSM,['Italian'],-25.4721575,-49.2867373,OPERATIONAL,Família Madalosso Palladium,,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",30,"Av. Pres. Kennedy, 4121 - Portão, Curitiba"
ChIJJV_APgrl3JQRR4tsBjXVSB4,['Italian'],-25.4372289,-49.2275325,OPERATIONAL,Casa de Massas do Italiano,2.0,4.8,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",120,"R. Delegado Leopoldo Belczak, 912 - Capão da Imbuia, Curitiba"
ChIJLViPAozj3JQRHyak9jvUaHU,['Italian'],-25.4408192,-49.2898219,OPERATIONAL,Mangiare Felice - Batel,3.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",1727,"R. Francisco Rocha, 560 - Batel, Curitiba"
ChIJN_hhi_Ln3JQRhLqJOCMEDRM,['Italian'],-25.4276213,-49.2653292,OPERATIONAL,Pasta Easy - Delivery & Take away de Pasta,,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",24,"R. Amintas de Barros, 55 - Centro, Curitiba"
ChIJO7OYGvbl3JQRJs0IMarPERU,['Italian'],-25.43642,-49.2798854,OPERATIONAL,Pasí Trattoria e Pastifício,,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",35,"R. Comendador Araújo, 444 - Centro, Curitiba"
ChIJOVQqv_fl3JQRmQfjILUzljs,['Italian'],-25.437899,-49.2831132,OPERATIONAL,Ciao - Salumeria Italiana,,4.8,"['liquor_store', 'grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",151,"Shopping Novo - Alameda Dom Pedro II, 255 - Loja 20 - Batel, Curitiba"
ChIJOeZrdIHl3JQRegxXOhXCFBE,['Italian'],-25.438353,-49.2659861,OPERATIONAL,Tagliata Pastas Artesanais,,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",40,"Av. Sete de Setembro, 2775 - Loja 1137 - Rebouças, Curitiba"
ChIJOxMWBojj3JQRs6sDY0e6hJU,['Italian'],-25.4447942,-49.2847666,OPERATIONAL,V'italy Padaria-Gastronomia,,4.3,"['bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",541,"Av. Sete de Setembro, 4847 - Água Verde, Curitiba"
ChIJPQRzy3Tl3JQRRLoJ21B_u1A,['Italian'],-25.4334076,-49.2813837,OPERATIONAL,La Campesina Galeteria Italiana,2.0,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",2988,"Alameda Dr. Carlos de Carvalho, 658 - Centro, Curitiba"
ChIJPcPgrhfl3JQRQHKwieVRwEs,['Italian'],-25.4542552,-49.2315047,OPERATIONAL,GIANFRANCO Massas,2.0,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",4278,"R. Sen. Batista de Oliveira, 155 - Jardim das Américas, Curitiba"
ChIJQQ9-JgLl3JQRXJwUBm0Dsmo,['Italian'],-25.4363471,-49.2765199,OPERATIONAL,Pasta Way,,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",87,"Rua Emiliano Perneta, 521 - Centro, Curitiba"
ChIJR0Jw0_Tj3JQRCcrS9TgNzGQ,['Italian'],-25.436287,-49.28784599999999,OPERATIONAL,Caliceti Di Bologna,3.0,4.4,"['meal_delivery', 'grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",923,"Alameda Dr. Carlos de Carvalho, 1365 - Batel, Curitiba"
ChIJRQcsns_ntSwRHsVWar7Jcak,['Italian'],-25.4401797,-49.2514803,OPERATIONAL,Pastah Brasil,,5.0,"['grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",36,"R. Brasílio Itiberê, 650 - Jardim Botânico, Curitiba"
ChIJT1Bhunbk3JQRat1cX0r7tgE,['Italian'],-25.4336931,-49.2895855,OPERATIONAL,Restaurante Scavollo,2.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",1466,"Alameda Augusto Stellfeld, 1642 - Bigorrilho, Curitiba"
ChIJT8cNoRbl3JQRvy3Y02XdD9M,['Italian'],-25.4513573,-49.2285757,OPERATIONAL,Don Piatto - Shopping Jardim das Américas,,4.3,"['shopping_mall', 'restaurant', 'food', 'point_of_interest', 'establishment']",400,"Av. Nossa Sra. de Lourdes, 63 - 16 - Jardim das Américas, Curitiba"
ChIJ_db9oDTj3JQRNVhKEh2VUog,['Italian'],-25.4549874,-49.3026492,OPERATIONAL,Trattoria Bella Italia | Massas e Risotos,,4.6,"['meal_delivery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",577,"Souq Curitiba, Av. Iguaçu, 4399 - Vila Izabel, Curitiba"
ChIJ_fLh04Tj3JQRVutt1zhjX1I,['Italian'],-25.4352826,-49.2849893,OPERATIONAL,Giuli Ristorante,,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",67,"Alameda Dr. Carlos de Carvalho, 1069 - Centro, Curitiba"
ChIJaRRiFhHl3JQRdvONRQaXkAI,['Italian'],-25.4240223,-49.2514234,OPERATIONAL,Burratatá,2.0,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",209,"R. Prof. Brandão, 429 - Alto da XV, Curitiba"
ChIJbUk1xHbk3JQRhSJEFeL8624,['Italian'],-25.4400066,-49.2796837,OPERATIONAL,Porcini Trattoria,3.0,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",2778,"R. Buenos Aires, 277 - Batel, Curitiba"
ChIJbwuLZjrl3JQRWQM5tMsWaKE,['Italian'],-25.4318342,-49.2643783,OPERATIONAL,De Pasta,,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"R. Conselheiro Laurindo, 600 - Centro, Curitiba"
ChIJe3aZ7wbj3JQRybBBWC8dnEc,['Italian'],-25.436996,-49.2858232,OPERATIONAL,Romeo Cucina,,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",424,"Av. Vicente Machado, 975 - Batel, Curitiba"
ChIJg8Yacn3j3JQRPylPzvUpQgY,['Italian'],-25.4401222,-49.2874458,OPERATIONAL,Cantina do Délio Batel,,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",699,"R. Teixeira Coelho, 255 - Batel, Curitiba"
ChIJh2wM3iTj3JQRmW0tV09xFNA,['Italian'],-25.4398563,-49.2966405,OPERATIONAL,Restaurante Anarco Batel,2.0,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",1797,"R. Mal Jose B Bormann, 600 - Batel, Curitiba"
ChIJi-KwcRPk3JQRr64swsfDbsA,['Italian'],-25.4281558,-49.2697857,OPERATIONAL,Restaurante Nonna Giovanna,1.0,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",3593,"R. São Francisco, 134 - Centro, Curitiba"
ChIJlU6HAoTj3JQR2UDMLgQpl1w,['Italian'],-25.491734,-49.2922021,OPERATIONAL,RICCA PASTA - massas em Curitiba,,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",68,"R. André João Gasparin, 170 - Novo Mundo, Curitiba"
ChIJlXv0iofj3JQRc24bbmersAA,['Italian'],-25.446306,-49.284222,OPERATIONAL,Barolo Curitiba,3.0,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",6587,"Av. Silva Jardim, 2487 - Água Verde, Curitiba"
ChIJm7M6ul3j3JQR0ZnHCJDg5Xg,['Italian'],-25.4780686,-49.2912012,OPERATIONAL,Ravello Trattoria,2.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",3330,"Praça de alimentação, piso - Av. Pres. Kennedy, 4121 - L3 - Portão, Curitiba"
ChIJm_CPgQTl3JQRCZR5ql8UkzM,['Italian'],-25.426573,-49.2759994,OPERATIONAL,Il Sogno di Mamma Nunzia,2.0,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",322,"Av. Jaime Reis, 216 - São Francisco, Curitiba"
ChIJmdRqhkrl3JQRZ80McpNteMI,['Italian'],-25.4233736,-49.2705198,OPERATIONAL,"Pecorino Bar & Trattoria Shopping Mueller: Massas, Risoto, Pizza, Delivery PR",2.0,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",1099,"Av Cândido de Abreu, 127 Loja 18 - L4 - Centro Cívico, Curitiba"
